bits,N,success_rate,mean_nmse,std_nmse,params
4,16,1.0,0.0005363576307733522,9.932235368640483e-05,82464
4,24,1.0,0.0009037601180177712,7.688309349261834e-05,82464
4,36,0.0,0.0013892696733327726,0.0003155306314335964,82464
4,54,0.0,0.003190270932665993,0.0003340020792761512,82464
4,81,0.0,0.0039455335740808594,0.00032694352055355583,82464
4,122,0.0,0.007920942838821781,0.0014658325989326494,82464
4,183,0.0,0.012668473032120141,0.0019562905929865365,82464
4,275,0.0,0.029472606535739052,0.011873480588547078,82464
4,413,0.0,0.051711105580098615,0.014247427943735678,82464
4,620,0.0,0.07765605126528606,0.004918805477108776,82464
4,930,0.0,0.1706732972651821,0.025014776148859472,82464
4,1395,0.0,0.26183235465663673,0.006945271621595865,82464
4,2093,0.0,0.37890220938534674,0.024266520613647216,82464
4,3140,0.0,0.5051776045951587,0.00879165916201926,82464
8,16,1.0,2.1407701176759524e-05,2.823262642016716e-06,82464
8,24,1.0,3.913669360919969e-05,1.9323957111616415e-06,82464
8,36,1.0,9.546838780980823e-05,2.0538571019319288e-05,82464
8,54,1.0,0.0002644380249770892,8.569670675449274e-05,82464
8,81,1.0,0.000572564532339412,0.00013786009504241736,82464
8,122,1.0,0.0007667227229598087,0.00029868295282782254,82464
8,183,1.0,0.0008712018574301788,6.336580843940474e-05,82464
8,275,1.0,0.000791396856176556,0.00022771160285704279,82464
8,413,0.0,0.0023939817739037244,0.00038373837886929483,82464
8,620,0.0,0.00575467649804903,0.0009625854200210335,82464
8,930,0.0,0.017263551557042876,0.0037070659526256765,82464
8,1395,0.0,0.04159354870522572,0.005720786151854572,82464
8,2093,0.0,0.10489778038780397,0.009500082786408006,82464
8,3140,0.0,0.19623622527273046,0.009159460544388555,82464
16,16,1.0,1.3721206177769906e-05,9.983044700500647e-07,82464
16,24,1.0,1.9611846921882545e-05,1.924447766305762e-06,82464
16,36,1.0,3.461567750678911e-05,8.154514048833407e-07,82464
16,54,1.0,0.0003759475634560276,9.754548483629175e-05,82464
16,81,1.0,0.00033626234551202886,0.0002799861114275023,82464
16,122,1.0,0.00043460722230726114,5.76421390112709e-05,82464
16,183,1.0,0.0007288815018018788,0.0002208611066183333,82464
16,275,1.0,0.0008805393178344021,0.00010404842450287346,82464
16,413,1.0,0.00084260451614269,0.00011670206663827146,82464
16,620,0.0,0.0017229165579266197,0.0005813055712985889,82464
16,930,0.0,0.004132571256420622,0.0006816704844168426,82464
16,1395,0.0,0.009862368057320646,0.0023605656145724257,82464
16,2093,0.0,0.051600218167030976,0.025699575949173676,82464
16,3140,0.0,0.15201903572050338,0.006803818867036707,82464
32,16,1.0,1.2767153029667673e-05,5.073513493883145e-07,82464
32,24,1.0,1.7417646678405137e-05,1.4630539998146273e-06,82464
32,36,1.0,2.8017691774733332e-05,3.2333744864395756e-06,82464
32,54,1.0,0.00014582231087332433,6.945702009358937e-05,82464
32,81,1.0,0.00017821031373967244,0.00012712199679372087,82464
32,122,1.0,0.00023826261225797237,7.5660749094860205e-06,82464
32,183,1.0,0.0006830246085350761,0.0001765037091262128,82464
32,275,1.0,0.0004639641150753962,0.000427641312322875,82464
32,413,1.0,0.0006375540813706447,0.00024246253047604995,82464
32,620,1.0,0.0004762705790118866,0.00029404302038607083,82464
32,930,1.0,0.0007302061686176366,0.00021502107654315186,82464
32,1395,0.0,0.0072586007614495575,0.0017814085978622497,82464
32,2093,0.0,0.038280200026957784,0.012508194993850565,82464
32,3140,0.0,0.14389193111067522,0.010376943533412777,82464
