run_id,optimizer,precision,keep_ratio,keep_percent,epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,Adam,bf16,1.0,100.0,1,0.003993834667466256,2.0467332754516603,23.692,2.062638854598999,23.52
1,Adam,bf16,1.0,100.0,2,0.003975376681190275,1.6309227827072144,37.908,1.963053476524353,31.23
1,Adam,bf16,1.0,100.0,3,0.003944739840795353,1.4163838282775878,47.736,1.5914382055282592,43.58
1,Adam,bf16,1.0,100.0,4,0.0039021130325903068,1.2409365157699586,54.708,1.4227458976745606,49.4
1,Adam,bf16,1.0,100.0,5,0.003847759065022573,1.0924888346481323,60.458,1.4422190530776977,51.86
1,Adam,bf16,1.0,100.0,6,0.003782013048376735,0.9702007545280457,65.026,1.246937699508667,56.35
1,Adam,bf16,1.0,100.0,7,0.003705280328708184,0.887539740486145,68.368,1.1295152297973632,62.06
1,Adam,bf16,1.0,100.0,8,0.0036180339887498946,0.8124761335563659,71.208,1.2166164472579957,59.41
1,Adam,bf16,1.0,100.0,9,0.0035208119312000615,0.7346896778297425,74.178,1.3977541748046876,56.57
1,Adam,bf16,1.0,100.0,10,0.0034142135623730944,0.6839622764968872,76.226,1.1063492456436157,64.08
1,Adam,bf16,1.0,100.0,11,0.003298896096660367,0.6250877415657043,78.126,0.9785399465560913,68.59
1,Adam,bf16,1.0,100.0,12,0.003175570504584946,0.5749987931060792,80.16,1.4738846141815185,56.28
1,Adam,bf16,1.0,100.0,13,0.003044997129431897,0.5310820775222779,81.654,0.9099790516853332,68.78
1,Adam,bf16,1.0,100.0,14,0.002907980999479093,0.4964794375991821,82.876,0.6967515977859498,75.92
1,Adam,bf16,1.0,100.0,15,0.002765366864730179,0.4600005274677277,84.256,0.663578182220459,78.29
1,Adam,bf16,1.0,100.0,16,0.0026180339887498945,0.4412738859939575,84.88,0.9725748191833496,68.5
1,Adam,bf16,1.0,100.0,17,0.0024668907277118107,0.4083185237503052,85.994,0.7569205665588379,75.26
1,Adam,bf16,1.0,100.0,18,0.0023128689300804615,0.38003789059638976,87.052,0.6471745148658753,78.38
1,Adam,bf16,1.0,100.0,19,0.0021569181914556897,0.36014270972251894,87.554,0.6888965229988098,77.71
1,Adam,bf16,1.0,100.0,20,0.0019999999999999996,0.3365942393398285,88.462,0.48872400622367856,83.81
1,Adam,bf16,1.0,100.0,21,0.00184308180854431,0.31508022587776185,89.29,0.6655190774917602,78.07
1,Adam,bf16,1.0,100.0,22,0.0016871310699195384,0.29327343437194825,89.952,0.7972248328208923,77.13
1,Adam,bf16,1.0,100.0,23,0.001533109272288189,0.27633651076316834,90.636,0.6149605876922607,80.04
1,Adam,bf16,1.0,100.0,24,0.001381966011250105,0.2568712843132019,91.164,0.5500324918746948,82.75
1,Adam,bf16,1.0,100.0,25,0.0012346331352698203,0.23293788726329803,92.116,0.38990588779449464,87.01
1,Adam,bf16,1.0,100.0,26,0.001092019000520906,0.2103329657316208,92.936,0.5936497813224793,82.17
1,Adam,bf16,1.0,100.0,27,0.000955002870568102,0.19468317471027374,93.458,0.3723631336212158,87.74
1,Adam,bf16,1.0,100.0,28,0.0008244294954150536,0.17795398339748383,94.026,0.45312590508461,85.33
1,Adam,bf16,1.0,100.0,29,0.0007011039033396326,0.15465606410980223,94.836,0.44378436064720156,86.4
1,Adam,bf16,1.0,100.0,30,0.0005857864376269048,0.13748421243190764,95.458,0.4058722680091858,86.69
1,Adam,bf16,1.0,100.0,31,0.0004791880687999379,0.11638616292953491,96.33,0.331425404214859,89.57
1,Adam,bf16,1.0,100.0,32,0.0003819660112501051,0.10272230265378952,96.706,0.32683833985328675,89.9
1,Adam,bf16,1.0,100.0,33,0.00029471967129181546,0.0862348445391655,97.338,0.37424738779067995,88.87
1,Adam,bf16,1.0,100.0,34,0.0002179869516232643,0.07443966512203216,97.83,0.3326852657318115,89.97
1,Adam,bf16,1.0,100.0,35,0.00015224093497742645,0.06136408384561539,98.288,0.3293488624572754,90.4
1,Adam,bf16,1.0,100.0,36,9.788696740969289e-05,0.05220086127638817,98.646,0.3095477916240692,91.0
1,Adam,bf16,1.0,100.0,37,5.526015920464686e-05,0.047456217855215074,98.832,0.30470340919494626,90.96
1,Adam,bf16,1.0,100.0,38,2.462331880972467e-05,0.042042393968105315,99.052,0.3035441822052002,91.22
1,Adam,bf16,1.0,100.0,39,6.16533253374407e-06,0.039162750638127325,99.138,0.3059930546283722,91.13
1,Adam,bf16,1.0,100.0,40,0.0,0.037526131267547606,99.14,0.3055030685901642,91.35
2,Adam,bf16,0.5,50.0,1,0.003993834667466256,1.9911448927688598,25.676,1.755073733139038,33.66
2,Adam,bf16,0.5,50.0,2,0.003975376681190275,1.5724918846511842,41.066,1.8681000911712646,32.53
2,Adam,bf16,0.5,50.0,3,0.003944739840795353,1.3496442281723022,50.66,1.49957137260437,44.67
2,Adam,bf16,0.5,50.0,4,0.0039021130325903068,1.169343853302002,57.724,1.351656063079834,51.27
2,Adam,bf16,0.5,50.0,5,0.003847759065022573,1.0242970304870604,63.27,1.2465191102981568,55.99
2,Adam,bf16,0.5,50.0,6,0.003782013048376735,0.9143048471260071,67.364,1.2876230167388916,55.45
2,Adam,bf16,0.5,50.0,7,0.003705280328708184,0.8479456465339661,70.018,1.1574737989425659,59.08
2,Adam,bf16,0.5,50.0,8,0.0036180339887498946,0.777254651298523,72.476,1.2452731258392333,57.75
2,Adam,bf16,0.5,50.0,9,0.0035208119312000615,0.6962863870048523,75.708,1.3979783500671388,57.88
2,Adam,bf16,0.5,50.0,10,0.0034142135623730944,0.6447000867271423,77.668,1.1332536413192749,62.13
2,Adam,bf16,0.5,50.0,11,0.003298896096660367,0.5874809474945069,79.666,0.9630332430839539,68.34
2,Adam,bf16,0.5,50.0,12,0.003175570504584946,0.5553767061424255,80.92,0.9872410186767578,67.88
