run_id,optimizer,precision,keep_ratio,keep_percent,epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
2,Adam,bf16,0.5,50.0,1,0.003993834667466256,1.9911448927688598,25.676,1.755073733139038,33.66
2,Adam,bf16,0.5,50.0,2,0.003975376681190275,1.5724918846511842,41.066,1.8681000911712646,32.53
2,Adam,bf16,0.5,50.0,3,0.003944739840795353,1.3496442281723022,50.66,1.49957137260437,44.67
2,Adam,bf16,0.5,50.0,4,0.0039021130325903068,1.169343853302002,57.724,1.351656063079834,51.27
2,Adam,bf16,0.5,50.0,5,0.003847759065022573,1.0242970304870604,63.27,1.2465191102981568,55.99
2,Adam,bf16,0.5,50.0,6,0.003782013048376735,0.9143048471260071,67.364,1.2876230167388916,55.45
2,Adam,bf16,0.5,50.0,7,0.003705280328708184,0.8479456465339661,70.018,1.1574737989425659,59.08
2,Adam,bf16,0.5,50.0,8,0.0036180339887498946,0.777254651298523,72.476,1.2452731258392333,57.75
2,Adam,bf16,0.5,50.0,9,0.0035208119312000615,0.6962863870048523,75.708,1.3979783500671388,57.88
2,Adam,bf16,0.5,50.0,10,0.0034142135623730944,0.6447000867271423,77.668,1.1332536413192749,62.13
2,Adam,bf16,0.5,50.0,11,0.003298896096660367,0.5874809474945069,79.666,0.9630332430839539,68.34
2,Adam,bf16,0.5,50.0,12,0.003175570504584946,0.5553767061424255,80.92,0.9872410186767578,67.88
2,Adam,bf16,0.5,50.0,13,0.003044997129431897,0.5128941398525239,82.368,0.9189156357765198,69.15
2,Adam,bf16,0.5,50.0,14,0.002907980999479093,0.48545894412994384,83.362,0.9554731799125671,69.26
2,Adam,bf16,0.5,50.0,15,0.002765366864730179,0.44966593569755553,84.838,0.9336313104629517,71.74
2,Adam,bf16,0.5,50.0,16,0.0026180339887498945,0.4284592584323883,85.398,0.8405698014259338,72.9
2,Adam,bf16,0.5,50.0,17,0.0024668907277118107,0.41210772221565245,85.992,0.6456451488494873,78.87
2,Adam,bf16,0.5,50.0,18,0.0023128689300804615,0.3931073340320587,86.798,0.9969156269073486,68.71
2,Adam,bf16,0.5,50.0,19,0.0021569181914556897,0.3610882344722748,87.914,0.8556470355987549,72.71
2,Adam,bf16,0.5,50.0,20,0.0019999999999999996,0.3489527251815796,87.94,0.7179420545578002,77.01
2,Adam,bf16,0.5,50.0,21,0.00184308180854431,0.3318170152378082,88.818,0.5665721634864808,80.72
2,Adam,bf16,0.5,50.0,22,0.0016871310699195384,0.314157492647171,89.368,0.704723118019104,77.86
2,Adam,bf16,0.5,50.0,23,0.001533109272288189,0.2924043957805634,90.116,0.6082376941680908,80.7
2,Adam,bf16,0.5,50.0,24,0.001381966011250105,0.26784072867393494,91.036,0.5310149188995361,82.62
2,Adam,bf16,0.5,50.0,25,0.0012346331352698203,0.25132670042037963,91.62,0.5459277132987976,82.56
2,Adam,bf16,0.5,50.0,26,0.001092019000520906,0.23664172778129577,92.064,0.8431979615211487,75.56
2,Adam,bf16,0.5,50.0,27,0.000955002870568102,0.22991818902492522,92.282,0.4659536644935608,84.73
2,Adam,bf16,0.5,50.0,28,0.0008244294954150536,0.20125238525867462,93.364,0.44025405220985414,85.34
2,Adam,bf16,0.5,50.0,29,0.0007011039033396326,0.18267859552383423,93.972,0.42999227905273435,86.48
2,Adam,bf16,0.5,50.0,30,0.0005857864376269048,0.16689754923820496,94.58,0.3775353193283081,87.71
2,Adam,bf16,0.5,50.0,31,0.0004791880687999379,0.15305300851821899,95.078,0.370726184797287,88.34
2,Adam,bf16,0.5,50.0,32,0.0003819660112501051,0.13695823332071305,95.654,0.40617498874664304,87.35
2,Adam,bf16,0.5,50.0,33,0.00029471967129181546,0.11965717095851898,96.37,0.3498775307178497,89.07
2,Adam,bf16,0.5,50.0,34,0.0002179869516232643,0.10608703219175339,96.872,0.32700924215316773,89.41
2,Adam,bf16,0.5,50.0,35,0.00015224093497742645,0.0938424287724495,97.28,0.32963122091293334,89.86
2,Adam,bf16,0.5,50.0,36,9.788696740969289e-05,0.08450273788928986,97.594,0.3284416947841644,89.97
2,Adam,bf16,0.5,50.0,37,5.526015920464686e-05,0.07753575698137283,97.904,0.31453234677314756,90.55
2,Adam,bf16,0.5,50.0,38,2.462331880972467e-05,0.07185486304998398,98.14,0.32038616313934326,90.35
2,Adam,bf16,0.5,50.0,39,6.16533253374407e-06,0.06936940349340438,98.13,0.3161894292354584,90.39
2,Adam,bf16,0.5,50.0,40,0.0,0.06605432219028473,98.292,0.31691268935203554,90.45
