name,layer,kind,m,n,min_dim,base_fro,ft_fro,delta_fro,rel_fro,spectral,nuclear,stable_rank,erank_entropy,r50,r90,r95,r99,numerical_rank,sigma_max_ratio,method,sec
model.layers.13.self_attn.v_proj.weight,13,v_proj,1024,4096,1024,60.86066172736085,60.857689876962205,0.662685690663475,0.010888571892828163,0.09347784320154147,17.44614827350945,50.257145636453444,846.1365739096115,102,524,683,911,1024,19.861173548838575,gram,0.61
model.layers.14.input_layernorm.weight,14,input_layernorm,4096,1,1,16.766192130658208,16.7668299601941,0.01820935580643912,0.0010860758164127737,,,,,,,,,,,1d,0.0
model.layers.14.mlp.down_proj.weight,14,down_proj,4096,12288,4096,188.1665496826172,188.14991760253906,2.5270859764619833,0.01343004896845075,0.19956137239933014,130.38134602457285,160.35668570148198,3300.2384231407777,377,1950,2575,3546,4096,29.12214078880809,svd,25.73
model.layers.14.mlp.gate_proj.weight,14,gate_proj,12288,4096,4096,192.3545684814453,192.33705139160156,2.6735244635941555,0.013898939259412662,0.417819082736969,131.89597973506898,40.94414270025533,3218.1425016177786,275,1842,2485,3490,4096,121.8069574951573,svd,15.15
model.layers.14.mlp.up_proj.weight,14,up_proj,12288,4096,4096,191.231201171875,191.21478271484375,2.5379599152541172,0.013271683175660406,0.3283753991127014,121.64662684302311,59.73492046415565,3086.713521705358,249,1639,2276,3360,4096,192.1894998637644,svd,15.22
model.layers.14.post_attention_layernorm.weight,14,post_attention_layernorm,4096,1,1,27.182310411484682,27.18223341439694,0.010951285064414163,0.0004028827902644648,,,,,,,,,,,1d,0.0
model.layers.14.self_attn.k_norm.weight,14,k_norm,128,1,1,21.555280821379895,21.555296815264395,0.0013973252225882673,6.482519221935846e-05,,,,,,,,,,,1d,0.0
model.layers.14.self_attn.k_proj.weight,14,k_proj,1024,4096,1024,54.62736852518555,54.62238805564737,0.7112834851829715,0.0130206433951697,0.09919701413282381,18.21566842840124,51.41481181782564,822.4945207535342,86,491,651,888,1024,43.667634297462975,gram,0.64
model.layers.14.self_attn.o_proj.weight,14,o_proj,4096,4096,4096,106.63172149658203,106.62371063232422,1.3612427243239005,0.0127658327673864,0.15904328227043152,53.29364894106186,73.2555415312887,2311.9803615711226,137,930,1377,2335,4069,102479.48980350839,svd,7.67
model.layers.14.self_attn.q_norm.weight,14,q_norm,128,1,1,19.624235253710754,19.62423527051081,6.103515625e-05,3.110192853933288e-06,,,,,,,,,,,1d,0.0
model.layers.14.self_attn.q_proj.weight,14,q_proj,4096,4096,4096,106.96000671386719,106.95126342773438,1.4445710128659546,0.013505711688391797,0.24100777506828308,56.89520469501349,35.92656413048863,2359.049691884832,128,988,1440,2374,4058,105286.93809728809,svd,6.37
model.layers.14.self_attn.v_proj.weight,14,v_proj,1024,4096,1024,59.28952113822433,59.28689192738625,0.6751547696851714,0.011387421532906991,0.08349012318770278,18.1196050231694,65.39378521525909,859.5202886029007,116,544,699,919,1024,15.721763211563927,gram,0.64
model.layers.15.input_layernorm.weight,15,input_layernorm,4096,1,1,18.109171563010506,18.109410917445615,0.018523340348045654,0.0010228706643809207,,,,,,,,,,,1d,0.0
model.layers.15.mlp.down_proj.weight,15,down_proj,4096,12288,4096,187.37051391601562,187.35498046875,2.5673964069779287,0.013702243503098302,0.19461165368556976,132.89682037057355,174.0396383292691,3309.2754599815794,383,1965,2588,3552,4096,27.012410412494372,svd,25.19
model.layers.15.mlp.gate_proj.weight,15,gate_proj,12288,4096,4096,185.81692504882812,185.8008575439453,2.71084857077618,0.014588814070967007,0.41541680693626404,132.39262096886523,42.58360162042317,3188.0928698935377,257,1797,2442,3466,4096,106.79805972724918,svd,15.2
